kyocera_modell;key;main_parts;toner_wtb;modell_status;utax;beginn;produktname;code
ECOSYS P5026cdw;p5026cdw;8;4;aktualisiert;P-C2650DW;01-2017;Sirius Printer;2RB
ECOSYS P6021cdn;p6021cdn;8;4;aktualisiert;P-C2160DN;01-2014;E-Gemini 1.5 Prt;2PS
ECOSYS P6026cdn;p6026cdn;9;4;aktualisiert;P-C2660DN;12-2013;E-Gemini 1.5 Prt;2PT
ECOSYS P6030cdn;p6030cdn;9;4;aktualisiert;P-C3060DN;01-2014;E-Cassiopeia 30;2PP
ECOSYS P6035CDN;p6035cdn;9;5;aktualisiert;P-C3560DN;06-2015;Mebius Printer;2NS
ECOSYS P6130CDN;p6130cdn;10;5;aktualisiert;P-C3061DN;06-2015;Mebius Printer;2NR
ECOSYS P6230cdn;p6230cdn;9;5;aktualisiert;P-C3062DN;05-2018;Mebius E Printer;2TV
ECOSYS P6235cdn;p6235cdn;9;5;aktualisiert;P-C3562DN;05-2018;Mebius E Printer;2TW
ECOSYS P7040cdn;p7040cdn;8;5;aktualisiert;P-C4070DN;05-2016;Mebius Printer;2NT
ECOSYS P7240cdn;p7240cdn;8;5;aktualisiert;P-C4072DN;05-2018;Mebius E Printer;2TX
ECOSYS P8060cdn;p8060cdn;10;5;neu;;;;
ECOSYS PA2100cwx;pa2100cwx;8;8;neu;;;;
ECOSYS PA2101cwx;pa2101cwx;8;8;neu;;;;
ECOSYS PA2600cwx;pa2600cwx;8;4;neu;;;;
ECOSYS PA3500cx;pa3500cx;9;5;aktualisiert;P-C3563DN;10-2023;Virgo Printer;2YJ
ECOSYS PA3500wx;pa3500wx;4;1;neu;;;;
ECOSYS PA4000cx;pa4000cx;9;5;aktualisiert;P-C4063DN;01-2024;Virgo Printer;2Z0
ECOSYS PA4000wx;pa4000wx;4;2;aktualisiert;P-4021DW;11-2024;Libra Prt. 2.0;C1F
ECOSYS PA4500cx;pa4500cx;9;5;neu;;;;
ECOSYS PA4500x;pa4500x;5;3;aktualisiert;P-4534DN;10-2023;6th Gen. Next;C0Y
ECOSYS PA5000x;pa5000x;5;2;aktualisiert;P-5034DN;10-2023;6th Gen. Next;C0X
ECOSYS PA5500x;pa5500x;5;2;aktualisiert;P-5534DN;10-2023;6th Gen. Next;C0W
ECOSYS PA6000x;pa6000x;5;2;aktualisiert;P-6034DN;01-2024;6th Gen. Next;C0T
